epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,152.245,1.11671,0.43165,1,1.07699,4.998e-05,4.998e-05,4.998e-05
2,311.731,1.05267,0.56115,1,1.05473,9.64971e-05,9.64971e-05,9.64971e-05
3,466.69,0.94505,0.54676,1,1.00295,0.000131704,0.000131704,0.000131704
4,639.976,0.83978,0.58273,1,0.97289,0.000155602,0.000155602,0.000155602
5,801.159,0.72485,0.56835,1,0.97115,0.00016819,0.00016819,0.00016819
6,959.895,0.62678,0.63309,1,0.86945,0.000169468,0.000169468,0.000169468
7,1121.22,0.56785,0.65468,1,0.87227,0.000159436,0.000159436,0.000159436
8,1284.16,0.49567,0.66187,1,0.85615,0.000138095,0.000138095,0.000138095
9,1444.83,0.46257,0.67626,1,0.88371,0.000105444,0.000105444,0.000105444
10,1607.03,0.45752,0.68345,1,0.90712,6.14825e-05,6.14825e-05,6.14825e-05
